iteration,DAGWO_r0.1,DAGWO_r0.2,DAGWO_r0.3,DAGWO_r0.4,DAGWO_r0.5,GWO,DA
190,1.1144926666666667E8,1.1319413333333333E8,1.1774453333333333E8,1.197694E8,1.2366526666666667E8,1.17811E8,1.27606E8
191,1.1311286666666667E8,1.685922E8,1.14517E8,1.1997126666666667E8,1.2463253333333333E8,1.1660873333333333E8,1.27606E8
192,1.140152E8,1.111362E8,1.1807066666666667E8,1.2130273333333333E8,1.2216386666666667E8,1.1320353333333333E8,1.27606E8
193,1.14257E8,1.1122646666666667E8,1.1612486666666667E8,1.1813173333333333E8,1.220972E8,1.131178E8,1.27606E8
194,1.1094326666666667E8,1.1362873333333333E8,1.1639206666666667E8,1.223298E8,1.1989486666666667E8,1.12854E8,1.27606E8
195,1.1348566666666667E8,1.0931653333333333E8,1.152552E8,1.189272E8,1.257006E8,1.13732E8,1.27606E8
196,1.1220253333333333E8,1.123562E8,1.17425E8,1.2075533333333333E8,1.21213E8,1.1144173333333333E8,1.27606E8
197,1.126574E8,1.6703766666666666E8,1.1713893333333333E8,1.1782806666666667E8,1.2208193333333333E8,1.1324E8,1.27606E8
198,1.1147373333333333E8,1.1010246666666667E8,1.14745E8,1.177954E8,1.1717593333333333E8,1.09734E8,1.27606E8
199,1.103192E8,1.116264E8,1.1509226666666667E8,1.170146E8,1.2201086666666667E8,1.1119166666666667E8,1.27606E8
