iteration,DAGWO_r0.1,DAGWO_r0.2,DAGWO_r0.3,DAGWO_r0.4,DAGWO_r0.5,GWO,DA
167,4.3238333333333336E7,4.5136666666666664E7,4.8516666666666664E7,4.9508333333333336E7,4.9E7,5.3638333333333336E7,5.9193333333333336E7
168,4.2408333333333336E7,4.5583333333333336E7,4.6168333333333336E7,4.834E7,5.0376666666666664E7,5.3108333333333336E7,5.9193333333333336E7
169,4.0995E7,4.4153333333333336E7,4.5231666666666664E7,4.9271666666666664E7,5.1506666666666664E7,5.3326666666666664E7,5.9193333333333336E7
170,4.155E7,4.4688333333333336E7,4.5261666666666664E7,5.0113333333333336E7,4.8611666666666664E7,5.3031666666666664E7,5.9193333333333336E7
171,4.1411666666666664E7,4.405E7,4.633E7,4.8201666666666664E7,4.9651666666666664E7,5.1641666666666664E7,5.9193333333333336E7
172,4.2086666666666664E7,4.346E7,4.5263333333333336E7,4.674E7,4.8018333333333336E7,5.3001666666666664E7,5.9193333333333336E7
173,4.155E7,4.4205E7,4.3735E7,4.7493333333333336E7,5.1126666666666664E7,5.119E7,5.9193333333333336E7
174,4.1531666666666664E7,4.3646666666666664E7,9.726666666666667E7,4.7925E7,4.9998333333333336E7,5.0156666666666664E7,5.9193333333333336E7
175,4.1025E7,4.365E7,9.429166666666667E7,4.9363333333333336E7,5.193E7,4.969E7,5.9193333333333336E7
176,4.1246666666666664E7,4.337E7,4.6025E7,4.7563333333333336E7,4.9865E7,5.083E7,5.9193333333333336E7
177,4.1451666666666664E7,4.3161666666666664E7,4.4545E7,4.7911666666666664E7,4.8295E7,4.852E7,5.9193333333333336E7
178,4.0405E7,4.28E7,4.552E7,4.643E7,5.03E7,4.9236666666666664E7,5.9193333333333336E7
179,4.042E7,4.1841666666666664E7,4.4126666666666664E7,4.663E7,4.571E7,4.7588333333333336E7,5.9193333333333336E7
180,4.0813333333333336E7,4.3405E7,4.488E7,4.8483333333333336E7,4.7555E7,4.7876666666666664E7,5.9193333333333336E7
181,4.177E7,4.334E7,4.5368333333333336E7,4.271E7,4.7315E7,4.693E7,5.9193333333333336E7
182,3.9495E7,4.2551666666666664E7,4.4546666666666664E7,4.6818333333333336E7,9.846333333333333E7,4.7555E7,5.9193333333333336E7
183,3.9561666666666664E7,4.2738333333333336E7,4.2975E7,4.4943333333333336E7,4.9098333333333336E7,4.6551666666666664E7,5.9193333333333336E7
184,3.9798333333333336E7,4.2331666666666664E7,4.5561666666666664E7,4.678E7,4.9085E7,4.6748333333333336E7,5.9193333333333336E7
185,4.01E7,4.2913333333333336E7,4.3063333333333336E7,4.5736666666666664E7,4.9281666666666664E7,4.6056666666666664E7,5.9193333333333336E7
186,3.983E7,4.331E7,4.3381666666666664E7,4.5785E7,4.8623333333333336E7,4.6016666666666664E7,5.9193333333333336E7
187,4.0438333333333336E7,4.227E7,4.5453333333333336E7,4.472E7,4.6746666666666664E7,4.5616666666666664E7,5.9193333333333336E7
188,4.0608333333333336E7,4.3288333333333336E7,4.4353333333333336E7,4.3431666666666664E7,4.7746666666666664E7,4.4483333333333336E7,5.9193333333333336E7
189,4.0975E7,4.1443333333333336E7,4.5798333333333336E7,4.5656666666666664E7,4.7088333333333336E7,4.3881666666666664E7,5.9193333333333336E7
