iteration,DAGWO_r0.1,DAGWO_r0.2,DAGWO_r0.3,DAGWO_r0.4,DAGWO_r0.5,GWO,DA
84,3.1587434607551765E8,3.081045333333333E8,2.5507186666666666E8,2.5762066666666666E8,2.6180326666666666E8,2.58645E8,2.226542E8
85,3.096904666666667E8,3.075626002906503E8,2.4817366666666666E8,2.588414E8,2.556532E8,2.5884606666666666E8,2.226542E8
86,3.878234666666667E8,4.260586E8,2.589198E8,2.611088E8,2.531866E8,2.5940406666666666E8,2.226542E8
87,2.906884E8,3.31135E8,2.536542E8,2.575278E8,2.570366E8,2.5528186666666666E8,2.226542E8
88,2.9797989037943286E8,3.165603333333333E8,2.5994393333333334E8,2.579064E8,2.491708E8,2.5540373333333334E8,2.226542E8
89,3.719582666666667E8,2.4902953333333334E8,2.496378E8,2.5486466666666666E8,2.5036193333333334E8,2.5177953333333334E8,2.226542E8
90,2.4312806666666666E8,3.847052666666667E8,2.540688E8,2.477212E8,2.4887206666666666E8,2.5511053333333334E8,2.226542E8
91,3.131684666666667E8,2.446148E8,2.4882986666666666E8,2.4914E8,2.5284626666666666E8,2.5678453333333334E8,2.226542E8
92,3.048968E8,3.166256E8,2.5261806666666666E8,2.5216486666666666E8,2.463848E8,2.589852E8,2.226542E8
93,2.5180713333333334E8,2.9491155091460025E8,2.5473293333333334E8,2.5018806666666666E8,2.531226E8,2.5933026666666666E8,2.226542E8
94,2.4915666666666666E8,2.485526E8,2.4870326666666666E8,2.462734E8,2.493098E8,2.5614166666666666E8,2.226542E8
95,2.481668E8,2.4451793333333334E8,2.5086966666666666E8,2.554262E8,2.4560666666666666E8,2.5323153333333334E8,2.226542E8
96,2.37285E8,2.486586E8,2.507148E8,2.555264E8,2.4531053333333334E8,2.5599706666666666E8,2.226542E8
97,3.889164638620167E8,2.4788E8,2.4996806666666666E8,2.4233873333333334E8,2.4837173333333334E8,2.528406E8,2.226542E8
98,2.3619606666666666E8,2.5072633333333334E8,2.4647113333333334E8,2.5168493333333334E8,2.5007273333333334E8,2.59004E8,2.226542E8
99,3.541486096746408E8,2.4060366666666666E8,2.940886E8,2.4922813333333334E8,2.4801953333333334E8,2.573922E8,2.226542E8
